date,nifty_close,india_vix,nifty_bank_close,nifty_it_close,nifty_pharma_close,nifty_auto_close,fii_net,dii_net,pcr,flow_div_raw,flow_div_pct,pcr_dev_raw,pcr_dev_pct,realized_vol,vol_spread_raw,vol_spread_pct
2015-05-27,8334.599609375,17.280000686645508,18538.634765625,11367.5,12506.0498046875,8369.900390625,-934.98,594.03,0.9625,-1529.01,,0.3063182491918614,,0.1916239749868511,-0.018823968120396023,
2015-05-28,8319.0,17.1299991607666,18448.984375,11450.849609375,12311.900390625,8379.2998046875,-792.54,683.29,0.9661,-1475.83,,0.3088882059478294,,0.19133022306612524,-0.020030231458459224,
2015-05-29,8433.650390625,16.65999984741211,18721.1328125,11575.0498046875,12511.75,8536.75,2284.3,-2267.88,0.9623,4552.18,,0.2756905113040986,,0.19325980453789862,-0.02665980606377752,
2015-06-01,8433.400390625,16.90999984741211,18616.783203125,11525.650390625,12079.7998046875,8509.349609375,-1570.76,1189.65,0.9424,-2760.41,,0.10048419355786087,,0.18819624013182537,-0.019096241657704266,
2015-06-02,8236.4501953125,16.81999969482422,17977.091796875,11347.900390625,11902.849609375,8325.0498046875,-96.45,115.49,0.8943,-211.94,,-0.35618825071476085,,0.20556642283265752,-0.03736642588441533,
2015-06-04,8130.64990234375,18.1200008392334,17718.994140625,11379.2001953125,11633.150390625,8130.4501953125,936.81,-170.03,0.8502,1106.84,,-0.7829215783370173,,0.20969437304263094,-0.02849436465029695,
2015-06-05,8114.7001953125,18.09000015258789,17549.046875,11291.5498046875,11715.849609375,8092.2998046875,-1699.6,1454.97,0.8655,-3154.5699999999997,,-0.5681023295596561,,0.20839519848591118,-0.027495196960032275,
2015-06-08,8044.14990234375,18.889999389648438,17432.396484375,11238.599609375,11585.099609375,8006.14990234375,108.93,-111.78,0.8318,220.71,,-0.9021256017940934,,0.19926318325078976,-0.010363189354305385,
2015-06-10,8124.4501953125,17.079999923706055,17707.044921875,11401.7001953125,11477.400390625,8104.0498046875,480.24,-424.6,0.8308,904.84,,-0.9014870940162574,,0.17769828600613852,-0.0068982867690779714,
2015-06-11,7965.35009765625,17.809999465942383,17304.19921875,11227.150390625,11308.150390625,7909.0,219.17,-39.45,0.7985,258.62,,-1.245638871014599,,0.15883002195585322,0.019269972703570615,
2015-06-15,8013.89990234375,17.520000457763672,17458.49609375,11093.849609375,11451.099609375,7996.2001953125,-604.86,650.47,0.8441,-1255.33,,-0.7650763739002715,,0.1579832729250778,0.01721673165255891,
2015-06-16,8047.2998046875,17.170000076293945,17602.244140625,11119.2001953125,11473.7001953125,8090.85009765625,-521.65,644.81,0.844,-1166.46,,-0.7860188603016562,,0.15919478434040943,0.012505216422530024,
2015-06-17,8091.5498046875,16.729999542236328,17583.845703125,11143.5,11678.9501953125,8160.9501953125,-940.91,1447.07,0.8456,-2387.98,,-0.8119747674971949,,0.159630622873598,0.007669372548765291,
2015-06-18,8174.60009765625,16.020000457763672,17733.34375,11215.349609375,11836.150390625,8258.650390625,-784.73,1110.01,0.9201,-1894.74,,-0.015157067365282623,,0.1561913214991806,0.004008683078456116,
2015-06-19,8224.9501953125,15.09000015258789,17880.642578125,11243.650390625,11810.0,8305.349609375,-106.12,447.55,1.0058,-553.6700000000001,,1.0014364430769906,,0.1583563620771213,-0.007456360551242408,
2015-06-22,8353.099609375,15.489999771118164,18334.287109375,11429.7998046875,11879.349609375,8400.7001953125,651.31,-94.03,1.1058,745.3399999999999,,2.1129398199452174,,0.1666340818101296,-0.011734084098947939,
2015-06-23,8381.5498046875,15.039999961853027,18391.13671875,11341.150390625,11910.25,8405.7998046875,-374.97,404.2,1.146,-779.1700000000001,,2.295253376009875,,0.16718572318160357,-0.016785723563073313,
2015-06-24,8360.849609375,15.920000076293945,18365.337890625,11353.75,11997.5498046875,8326.9501953125,92.57,13.52,1.127,79.05,,1.8808480107245447,,0.16639828985540558,-0.0071982890924661425,
2015-06-25,8398.0,15.930000305175781,18492.685546875,11210.400390625,12007.25,8395.9501953125,280.21,-8.45,1.0748,288.65999999999997,,1.2325440234309524,,0.16296708824370854,-0.0036670851919507197,
2015-06-26,8381.099609375,15.760000228881836,18371.287109375,11362.5498046875,12066.849609375,8447.2001953125,-203.74,234.21,1.0274,-437.95000000000005,,0.7303988466384218,,0.16254658688132273,-0.004946584592504383,
2015-06-29,8318.400390625,17.299999237060547,18241.037109375,11133.650390625,11926.400390625,8325.0498046875,-711.88,906.38,1.08,-1618.26,,1.2008005786810458,,0.1648605160366862,0.008139476333919288,
2015-06-30,8368.5,16.93000030517578,18295.88671875,11037.400390625,12202.5498046875,8383.25,-551.38,580.59,1.0796,-1131.97,,1.1191811649111318,,0.1661018622053189,0.003198140846438935,
2015-07-01,8453.0498046875,15.850000381469727,18581.3828125,11213.599609375,12257.099609375,8482.4501953125,-1073.18,601.4,1.1123,-1674.58,,1.3417025494704597,,0.16268100726560222,-0.004181003450904969,
2015-07-07,8510.7998046875,16.309999465942383,18798.28125,11143.849609375,12490.5,8488.900390625,23.54,-94.71,1.1328,118.25,,1.4462120288201965,,0.16440223277038624,-0.001302238110962417,
2015-07-08,8363.0498046875,17.790000915527344,18462.935546875,11021.7998046875,12390.5,8287.2998046875,-93.74,34.08,1.0833,-127.82,,0.938183249237482,,0.15359259252454147,0.024307416630731965,
2015-07-09,8328.5498046875,17.440000534057617,18508.484375,10828.7001953125,12399.349609375,8248.5498046875,-826.92,504.11,1.0316,-1331.03,,0.4662237782843757,,0.14618889277132924,0.028211112569246938,
2015-07-10,8360.5498046875,17.06999969482422,18719.583984375,10798.25,12537.25,8234.099609375,-50.6,-218.75,1.0295,168.15,,0.4613372291340402,,0.14597211410180602,0.024727882846436178,
2015-07-13,8459.650390625,16.270000457763672,18893.33203125,10998.849609375,12697.7998046875,8370.75,527.98,-171.55,1.0417,699.53,,0.5853579573665372,,0.145075554764448,0.017624449813188725,
2015-07-14,8454.099609375,16.010000228881836,18779.98046875,11043.849609375,12786.599609375,8305.7001953125,269.9,-130.9,1.0408,400.79999999999995,,0.5569440436970334,,0.14274807143185275,0.017351930856965597,
2015-07-15,8523.7998046875,15.569999694824219,18816.03125,11150.25,12912.349609375,8403.2001953125,407.69,-50.38,1.1154,458.07,,1.168630492420425,,0.1186911001106968,0.03700889683754538,
2015-07-16,8608.0498046875,14.779999732971191,19167.828125,11191.599609375,13060.349609375,8434.5498046875,745.81,-98.51,1.1725,844.3199999999999,,1.552477702545703,,0.12055574802653683,0.02724424930317508,
2015-07-17,8609.849609375,14.800000190734863,19094.4765625,11269.2001953125,13139.0,8473.900390625,605.56,-175.15,1.1917,780.7099999999999,,1.5799560970420379,,0.12111642404030415,0.026883577867044484,
2015-07-20,8603.4501953125,14.960000038146973,19032.478515625,11266.9501953125,13175.650390625,8476.349609375,714.4,-848.76,1.1761,1563.1599999999999,,1.3483221648829982,,0.12169655850309606,0.027903441878373667,
2015-07-21,8529.4501953125,15.100000381469727,18723.18359375,11655.4501953125,12255.2998046875,8440.4501953125,-226.88,146.32,1.1151,-373.2,,0.8072242867526412,,0.12535852819057478,0.0256414756241225,
2015-07-22,8633.5,15.130000114440918,18996.779296875,11643.75,12377.7001953125,8538.7998046875,450.32,-351.77,1.1864,802.0899999999999,,1.280187169591706,,0.12962850241229387,0.021671498732115296,
2015-07-23,8589.7998046875,15.520000457763672,18864.78125,11558.7001953125,12275.400390625,8581.349609375,185.42,-276.69,1.1054,462.11,,0.592949625056707,,0.12253795662886696,0.03266204794876976,
2015-07-24,8521.5498046875,15.460000038146973,18635.6328125,11464.150390625,12226.0498046875,8472.0498046875,6.62,196.38,1.0111,-189.76,,-0.21546241439405878,,0.12665717203912666,0.027942828342343073,
2015-07-27,8361.0,16.3700008392334,18212.83984375,11362.4501953125,12056.900390625,8305.650390625,-859.94,238.66,0.8724,-1098.6000000000001,,-1.4108703693650635,,0.1447103944308469,0.018989613961487073,
2015-07-29,8375.0498046875,15.880000114440918,18323.1875,11470.7001953125,11978.400390625,8368.900390625,-186.24,642.69,0.8986,-828.9300000000001,,-1.2445604407570334,,0.14391948324905224,0.014880517895356937,
2015-07-30,8421.7998046875,15.329999923706055,18440.185546875,11394.5498046875,12073.099609375,8387.5,-170.68,499.65,0.8656,-670.3299999999999,,-1.6149808210578407,,0.14511848382118808,0.008181515415872476,
2015-07-31,8532.849609375,14.569999694824219,18729.6328125,11594.150390625,12353.25,8544.849609375,-277.77,1021.34,0.9174,-1299.1100000000001,,-1.2071478908801818,,0.14890751035926064,-0.0032075134110184644,
2015-08-04,8516.900390625,14.829999923706055,18972.37890625,11415.5498046875,12361.9501953125,8703.599609375,-479.18,382.54,0.9208,-861.72,,-1.248599158866018,,0.14821064043533488,8.935880172566968e-05,
2015-08-05,8567.9501953125,14.670000076293945,18928.330078125,11618.0,12572.5498046875,8795.4501953125,-437.56,1114.38,0.9505,-1551.94,,-1.0479758754017774,,0.14554644067646894,0.001153560086470523,
2015-08-06,8588.650390625,14.729999542236328,19029.12890625,11616.5,12697.5,8796.9501953125,-749.12,529.82,0.9743,-1278.94,,-0.8371667881026108,,0.14391681858332528,0.0033831768390379935,
