date,pcr
2017-08-23,0.9842
2017-08-24,1.0121
2017-08-28,1.0115
2017-08-29,0.9159
2017-08-30,0.9781
2017-08-31,1.2159
2017-09-01,1.2214
2017-09-04,1.1145
2017-09-05,1.1427
2017-09-06,1.1328
2017-09-07,1.1654
2017-09-08,1.17
2017-09-11,1.1837
2017-09-12,1.2488
2017-09-13,1.2731
2017-09-14,1.2651
2017-09-15,1.2279
2017-09-18,1.253
2017-09-19,1.2535
2017-09-20,1.2304
2017-09-21,1.1916
2017-09-22,1.0018
2017-09-25,0.926
2017-09-26,0.9201
2017-09-27,0.8263
2017-09-28,1.1326
2017-09-29,1.0633
2017-10-03,1.0748
2017-10-05,1.109
2017-10-06,1.1801
2017-10-09,1.1899
2017-10-10,1.2047
2017-10-11,1.1275
2017-10-12,1.2889
2017-10-13,1.4006
2017-10-16,1.3846
2017-10-17,1.3339
2017-10-18,1.3002
2017-10-19,1.2026
2017-10-23,1.2192
2017-10-24,1.2658
2017-10-25,1.3619
2017-10-26,1.2692
2017-10-27,1.1943
2017-10-30,1.2006
2017-10-31,1.2072
2017-11-01,1.2973
2017-11-02,1.2432
2017-11-03,1.2796
2017-11-06,1.254
2017-11-07,1.1353
2017-11-08,1.0695
2017-11-09,1.1049
2017-11-10,1.092
2017-11-13,1.0116
2017-11-14,0.9644
2017-11-15,0.9219
2017-11-16,0.9994
2017-11-17,1.0075
2017-11-20,1.0125
2017-11-21,1.0371
2017-11-22,1.0258
2017-11-23,1.0601
2017-11-24,1.1216
2017-11-27,1.1413
2017-11-28,1.0679
2017-11-29,1.0345
2017-11-30,1.1834
2017-12-01,1.0697
2017-12-04,1.0402
2017-12-05,1.03
2017-12-06,0.923
2017-12-07,1.0788
2017-12-08,1.1437
2017-12-11,1.1606
2017-12-12,1.0855
2017-12-13,1.0313
2017-12-14,1.1084
2017-12-15,1.1196
2017-12-18,1.1147
2017-12-19,1.2175
2017-12-20,1.2138
2017-12-21,1.2398
2017-12-22,1.2887
2017-12-26,1.2869
2017-12-27,1.2487
2017-12-28,1.3273
2017-12-29,1.3136
2018-01-01,1.2418
2018-01-02,1.177
2018-01-03,1.1245
2018-01-04,1.2245
2018-01-05,1.2455
2018-01-08,1.2309
2018-01-09,1.2366
2018-01-10,1.1853
2018-01-11,1.2752
2018-01-12,1.276
2018-01-15,1.3235
2018-01-16,1.2442
2018-01-17,1.3496
2018-01-18,1.2191
2018-01-19,1.3048
2018-01-22,1.3304
2018-01-23,1.4119
2018-01-24,1.3715
2018-01-25,1.2927
2018-01-29,1.2485
2018-01-30,1.1583
2018-01-31,1.0887
2018-02-01,1.0337
2018-02-02,0.9029
2018-02-05,0.9027
2018-02-06,0.9314
2018-02-07,0.8376
2018-02-08,0.929
2018-02-09,0.9182
2018-02-12,0.93
2018-02-14,0.8879
2018-02-15,0.9533
2018-02-16,0.9049
2018-02-19,0.8921
2018-02-20,0.906
2018-02-21,0.9622
2018-02-22,1.2888
2018-02-23,1.286
2018-02-26,1.3124
2018-02-27,1.1912
2018-02-28,1.1268
2018-03-01,1.0895
2018-03-05,1.024
2018-03-06,0.9258
2018-03-07,0.8694
2018-03-08,0.9816
2018-03-09,0.9532
2018-03-12,1.0853
2018-03-13,1.0745
2018-03-14,1.0886
2018-03-15,1.0375
2018-03-16,0.9469
2018-03-19,0.9057
2018-03-20,0.9067
2018-03-21,0.9271
2018-03-22,0.9277
2018-03-23,0.8945
2018-03-26,0.9986
2018-03-27,1.005
2018-03-28,1.3017
2018-04-02,1.2832
2018-04-03,1.2851
