date,fii_net,dii_net
2017-07-14,673.56,-136.27
2017-07-17,328.61,-447.14
2017-07-18,317.44,-975.01
2017-07-19,1046.65,-12.48
2017-07-20,154.91,0.08
2017-07-21,12.9,147.66
2017-07-24,-366.84,668.87
2017-07-25,270.77,-209.5
2017-07-26,-60.6,676.61
2017-07-27,1869.92,-660.03
2017-07-28,-223.12,424.67
2017-07-31,-1196.94,1768.43
2017-08-02,-127.69,-166.82
2017-08-03,3573.04,-1735.12
2017-08-05,-542.47,663.33
2017-08-06,90.78,738.78
2017-08-08,1539.82,798.55
2017-08-09,-256.42,487.97
2017-08-11,-3838.27,3038.16
2017-08-12,-675.16,1243.0
2017-08-14,-1638.83,1619.17
2017-08-16,-1090.1,1336.91
2017-08-17,-981.05,828.59
2017-08-18,-2182.12,584.59
2017-08-21,-1983.39,474.72
2017-08-22,-828.69,435.05
2017-08-23,-1157.52,929.84
2017-08-24,-696.93,1044.38
2017-08-28,-124.74,476.26
2017-08-29,-1459.64,1391.33
2017-08-30,-12.46,290.78
2017-08-31,77.58,509.71
2017-09-01,-325.1,96.82
2017-09-02,356.63,-379.63
2017-09-03,487.61,10.98
2017-09-05,332.87,16.92
2017-09-06,-100.99,324.7
2017-09-08,-841.44,553.17
2017-09-10,-475.11,55.42
2017-09-11,-713.75,231.25
2017-09-13,-826.77,725.9
2017-09-14,-1334.23,793.31
2017-09-15,418.86,125.55
2017-09-18,-96.92,775.61
2017-09-19,-1719.62,-77.68
2017-09-20,-1185.44,946.23
2017-09-21,-1204.95,1416.55
2017-09-22,-1241.73,521.17
2017-09-25,-1249.45,1009.98
2017-09-26,-1915.54,1537.1
2017-09-27,-856.28,1858.29
2017-09-28,-5328.46,5196.6
2017-09-29,-1546.86,2064.63
2017-10-01,-21.2,253.36
2017-10-02,504.51,-224.76
2017-10-03,412.14,-13.91
2017-10-04,-716.19,201.69
2017-10-05,893.36,-229.73
2017-10-07,102.27,894.57
2017-10-08,-1171.21,821.72
2017-10-10,-504.82,402.15
2017-10-11,-529.22,1920.87
2017-10-13,-1698.5,1590.13
2017-10-16,-29.92,272.69
2017-10-17,-484.92,809.03
2017-10-18,-1251.16,904.27
2017-10-19,-43.74,40.78
2017-10-23,-81.51,307.84
2017-10-24,-1306.76,592.28
2017-10-25,3582.5,-155.71
2017-10-26,-375.63,-523.54
2017-10-27,-640.95,56.57
2017-10-30,-186.04,139.68
2017-10-31,-531.82,596.92
2017-11-01,-627.3,1116.15
2017-11-04,-750.52,826.66
2017-11-05,1306.71,-1037.18
2017-11-07,182.05,335.75
2017-11-08,-1943.86,2016.84
2017-11-09,-392.52,877.37
2017-11-10,-107.95,233.8
2017-11-12,-185.6,108.94
2017-11-13,-233.56,-268.77
2017-11-14,2576.98,-1.3
2017-11-15,-381.42,869.09
2017-11-16,-447.42,847.45
